Salary,Loyalty Card,CLV,Enrollment Year,Enrollment Month,Lifetime_Flights,Lifetime_Distance,Lifetime_Points_Accumulated,Lifetime_Points_Redeemed,Avg_Monthly_Flights,Avg_Monthly_Distance,sixmonth_avg_flights,sixmonth_avg_distance,Gender_Male,Marital Status_Married,Marital Status_Single,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Province_British Columbia,Province_Manitoba,Province_New Brunswick,Province_Newfoundland,Province_Nova Scotia,Province_Ontario,Province_Prince Edward Island,Province_Quebec,Province_Saskatchewan,Province_Yukon,Enrollment Type_Standard,Actual Churn,Churn Probability,Marketing Segment
66055.0,3,10103.66,2012,7,30,48721,48721.0,970,1.25,2030.0416666666667,1.0833333333333333,1940.5,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.0,Only uses when discounts
70418.0,2,5206.12,2018,4,39,39164,58746.0,715,3.5454545454545454,3560.3636363636365,0.0,0.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.04,Best Customers
94267.0,2,9448.83,2016,10,41,57129,57129.0,1636,1.7083333333333333,2380.375,1.75,2171.1666666666665,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.0,Best Customers
61547.0,2,2769.25,2017,2,26,36480,36480.0,1022,1.0833333333333333,1520.0,1.25,2054.75,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.02,Only uses when discounts
234544.0,2,22067.73,2018,4,52,64880,97320.0,630,4.7272727272727275,5898.181818181818,0.0,0.0,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0,0.21,Best Customers
57608.0,3,21768.7,2015,4,24,38695,38695.0,636,1.0,1612.2916666666667,1.0,1420.3333333333333,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.03,Only uses when discounts
76887.0,1,4923.18,2018,7,38,52773,52773.0,1703,1.5833333333333333,2198.875,1.9166666666666667,3007.0833333333335,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.0,Best Customers
65461.0,1,2494.87,2018,11,1,789,789.0,0,0.041666666666666664,32.875,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.02,Only uses when discounts
68175.0,2,22620.75,2015,3,41,53145,53145.0,613,1.7083333333333333,2214.375,2.0,2565.9166666666665,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.01,Best Customers
99444.0,1,2759.98,2015,10,38,58654,58654.0,504,1.5833333333333333,2443.9166666666665,1.5,2182.6666666666665,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.01,Best Customers
88366.0,1,5872.96,2018,5,20,32979,32979.0,943,0.8333333333333334,1374.125,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.02,Only uses when discounts
61997.0,3,11211.59,2017,5,42,64561,64561.0,0,1.75,2690.0416666666665,1.3333333333333333,2323.9166666666665,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.01,Best Customers
78406.0,1,2541.52,2013,2,31,48498,48498.0,434,1.2916666666666667,2020.75,1.6666666666666667,2342.6666666666665,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.02,Only uses when discounts
78247.0,3,7199.65,2016,4,33,49093,49093.0,932,1.375,2045.5416666666667,2.25,3224.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.26,Only uses when discounts
73008.0,1,2441.39,2016,4,47,80284,80284.0,1409,1.9583333333333333,3345.1666666666665,2.0833333333333335,3058.6666666666665,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.0,Best Customers
73602.0,3,8216.39,2013,3,47,61647,61647.0,526,1.9583333333333333,2568.625,1.8333333333333333,2810.1666666666665,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.0,Best Customers
99622.0,2,3940.12,2015,10,37,60445,60445.0,0,1.5416666666666667,2518.5416666666665,1.4166666666666667,2318.0833333333335,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.0,Best Customers
128352.0,2,4650.06,2013,12,46,72340,72340.0,0,1.9166666666666667,3014.1666666666665,1.9166666666666667,2508.4166666666665,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,0,0.02,Best Customers
73544.0,1,4665.13,2014,4,33,47318,47318.0,543,1.375,1971.5833333333333,1.75,2611.75,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.07,Only uses when discounts
73008.0,3,6355.68,2018,6,13,22017,22017.0,470,0.5416666666666666,917.375,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.02,Only uses when discounts
54529.0,1,31161.75,2012,10,31,47046,47046.0,1997,1.2916666666666667,1960.25,1.0833333333333333,1599.3333333333333,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.01,Only uses when discounts
73008.0,2,9449.75,2014,8,26,38322,38322.0,337,1.0833333333333333,1596.75,1.0,1555.75,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.0,Only uses when discounts
72072.0,1,2539.99,2018,1,16,16275,16275.0,442,0.6666666666666666,678.125,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.1,Only uses when discounts
73602.0,1,12556.95,2018,3,66,76962,115443.0,475,6.0,6996.545454545455,0.0,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.07,Best Customers
71353.0,1,5666.87,2012,11,48,74120,74120.0,2134,2.0,3088.3333333333335,2.0833333333333335,2879.6666666666665,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.01,Best Customers
62237.0,1,7083.21,2018,11,4,8020,8020.0,0,0.16666666666666666,334.1666666666667,0.0,0.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.0,Only uses when discounts
60788.0,3,5641.36,2014,10,3,2448,2448.0,0,0.125,102.0,0.25,204.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,0.99,Lowest Value customers
73544.0,1,6874.85,2018,12,0,0,0.0,0,0.0,0.0,0.0,0.0,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1,1.0,Lowest Value customers
73602.0,1,26999.68,2018,2,55,75486,113229.0,0,5.0,6862.363636363636,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0.0,Best Customers
59169.0,1,9816.53,2017,5,22,32812,32812.0,453,0.9166666666666666,1367.1666666666667,0.5833333333333334,598.9166666666666,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.01,Only uses when discounts
73313.0,3,15936.58,2016,8,45,86268,86268.0,2489,1.875,3594.5,2.1666666666666665,4490.333333333333,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,0.0,Best Customers
81032.0,2,10339.6,2018,12,0,0,0.0,0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1,1.0,Lowest Value customers
72896.0,2,4466.1,2015,3,26,37728,37728.0,1030,1.0833333333333333,1572.0,1.6666666666666667,2233.5833333333335,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0,0.14,Only uses when discounts
99465.0,1,4758.47,2014,8,43,51224,51224.0,358,1.7916666666666667,2134.3333333333335,1.5833333333333333,2167.5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.03,Best Customers
54979.0,2,5460.37,2012,5,38,67952,67952.0,604,1.5833333333333333,2831.3333333333335,1.0833333333333333,2094.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.0,Best Customers
47701.0,2,3605.86,2016,2,57,72210,72210.0,470,2.375,3008.75,2.6666666666666665,3037.3333333333335,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.01,Best Customers
73313.0,3,6285.02,2015,10,49,68417,68417.0,0,2.0416666666666665,2850.7083333333335,2.0,2886.0,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0,0.0,Best Customers
73945.0,3,5310.86,2016,3,32,47728,47728.0,889,1.3333333333333333,1988.6666666666667,1.25,1668.0,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0,0.01,Only uses when discounts
72907.0,2,5186.36,2017,7,19,19515,19515.0,1346,0.7916666666666666,813.125,0.9166666666666666,953.25,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,0.28,Only uses when discounts
98320.0,2,4037.5,2015,11,49,75720,75720.0,1133,2.0416666666666665,3155.0,1.8333333333333333,2810.0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.01,Best Customers
55994.0,3,6631.67,2012,9,88,145022,145022.0,3490,1.8333333333333333,3021.2916666666665,1.8333333333333333,3213.4583333333335,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0,0.02,Best Customers
70560.0,3,7590.96,2018,6,39,61723,61723.0,0,1.625,2571.7916666666665,1.9166666666666667,3121.5833333333335,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0,0.0,Best Customers
